source_word,target_word,weight
live,very,2
live,☹,2
live,️,2
sad,that,2
sad,very,2
sad,☹,2
sad,️,2
that,very,2
that,☹,2
that,️,2
very,☹,2
very,️,2
car,way,2
take,way,2
always,car,6
always,future,4
always,gas,4
always,guy,2
always,heart,2
always,keep,2
always,kid,2
always,love,3
always,matter,2
always,need,5
always,no,2
always,teach,2
car,future,6
car,heart,6
car,keep,6
car,kid,6
car,love,6
car,need,9
car,no,6
car,teach,6
future,gas,4
future,guy,2
future,heart,2
future,keep,2
future,kid,5
future,love,2
future,matter,2
future,need,2
future,no,2
future,teach,2
gas,guy,4
gas,heart,4
gas,keep,4
gas,kid,4
gas,love,4
gas,need,4
gas,no,4
gas,teach,4
guy,heart,2
guy,keep,2
guy,kid,2
guy,love,4
guy,matter,2
guy,need,2
guy,no,2
guy,teach,2
heart,keep,2
heart,kid,2
heart,love,2
heart,matter,2
heart,need,2
heart,no,2
heart,teach,2
keep,kid,2
keep,love,5
keep,matter,2
keep,need,4
keep,no,2
keep,teach,2
kid,love,2
kid,matter,2
kid,need,2
kid,no,2
kid,teach,5
love,matter,4
love,need,3
love,no,2
love,teach,2
matter,need,2
matter,no,7
matter,teach,2
need,no,2
need,teach,3
no,teach,2
allow,bit,2
allow,drive,2
allow,new,2
allow,produce,2
allow,state,3
allow,still,2
allow,too,2
allow,win,2
bit,car,4
bit,drive,2
bit,new,2
bit,produce,2
bit,state,2
bit,still,2
bit,too,4
bit,win,2
car,new,4
car,state,4
car,still,4
car,too,5
car,win,4
drive,new,2
drive,state,2
drive,still,2
drive,too,3
drive,win,2
new,produce,2
new,state,2
new,still,3
new,too,2
new,win,2
produce,state,2
produce,still,4
produce,too,2
produce,win,3
state,still,2
state,too,2
state,win,2
still,too,2
still,win,2
too,win,2
happy,less,2
happy,sleep,2
less,sleep,2
People,back,2
People,big,2
People,come,2
People,far,4
People,future,2
People,idea,2
People,important,2
People,look,2
People,see,3
back,big,3
back,come,10
back,far,5
back,future,3
back,idea,3
back,important,2
back,look,4
back,see,7
big,come,2
big,far,12
big,future,3
big,idea,2
big,important,2
big,look,2
big,see,7
come,far,4
come,future,3
come,idea,2
come,important,2
come,look,2
come,see,7
far,far,2
far,future,4
far,idea,4
